Timestamp,Filename,Origin (Easting[m],Northing[m],Height[m]),Direction (Easting,Roll(X)[deg],Pitch(Y)[deg],Yaw(Z)[deg],Omega[deg],Phi[deg],Kappa[deg]
399332951.378495,240509_233553782.jpg,486690.508,7038918.811,434.526,-0.988240451,2.059991419,0.335236413,-171.38786129,178.015771528,0.637920106,171.404886706
399332951.875295,240509_233554280.jpg,486700.375,7038920.249,434.468,-0.975448017,2.381919199,0.158571937,-167.399034556,177.712520183,0.672449481,167.415715611
399332952.372095,240509_233554778.jpg,486710.156,7038922.361,434.346,-0.959244008,2.531208788,-0.403804802,-163.682929744,177.460109,0.322506984,163.681160047
399332952.868895,240509_233555276.jpg,486719.814,7038925.086,434.162,-0.940872398,2.438564435,-0.643435017,-160.28407953,177.490217288,0.216162122,160.275141567
399332953.355596,240509_233555763.jpg,486729.131,7038928.312,433.931,-0.91867606,2.217726221,-0.699237594,-156.806359205,177.688953977,0.229890924,156.797488114
399332953.842296,240509_233556251.jpg,486738.264,7038932.111,433.692,-0.89345231,1.976598834,-1.000766652,-153.381707101,177.787387233,-0.009553694,153.36430708
399332954.328996,240509_233556739.jpg,486747.177,7038936.457,433.443,-0.866637071,1.794568457,-1.020381807,-150.13308035,177.938469431,0.008269541,150.117297328
399332954.815697,240509_233557226.jpg,486755.862,7038941.295,433.188,-0.842467776,1.633844792,-0.808748475,-147.452970554,178.19030477,0.196378465,147.444573689
399332955.302397,240509_233557714.jpg,486764.359,7038946.539,432.935,-0.824021902,1.897675736,-0.899814013,-145.539167786,177.929031802,0.331021774,145.530291206
399332955.778097,240509_233558190.jpg,486772.535,7038951.92,432.73,-0.809025416,1.612806699,-0.428602801,-144.040338493,178.445238761,0.598755614,144.042437125
399332956.253798,240509_233558667.jpg,486780.607,7038957.535,432.558,-0.797450901,1.638621299,-0.146517057,-142.923434689,178.606464195,0.869297319,142.931898366
399332956.729498,240509_233559144.jpg,486788.602,7038963.285,432.463,-0.789598779,1.359701077,0.347963616,-142.184266624,179.140872418,1.106517342,142.196644747
399332957.205198,240509_233559620.jpg,486796.549,7038969.148,432.43,-0.781993349,1.143923424,0.845115512,-141.485273303,179.632478695,1.371271782,141.498029524
399332957.680898,240509_233600097.jpg,486804.43,7038975.114,432.46,-0.776280975,0.948115487,0.998522571,-140.965407931,179.893551746,1.370380398,140.974856661
399332958.156599,240509_233600574.jpg,486812.258,7038981.124,432.547,-0.776570158,0.776226941,1.330554915,-141.000066992,-179.764938395,1.520004108,141.005857434
399332958.632299,240509_233601050.jpg,486820.076,7038987.095,432.697,-0.777488708,0.447623733,1.750614032,-141.09781752,-179.248207261,1.640718202,141.093768107
399332959.107999,240509_233601527.jpg,486827.877,7038993.03,432.903,-0.777560261,0.072702984,1.871980559,-141.10910774,-178.880611454,1.499904322,141.09552097
399332959.5837,240509_233602004.jpg,486835.644,7038998.942,433.127,-0.778492599,-0.172135734,1.914105043,-141.196088122,-178.665775684,1.380975979,141.17701446
399332960.0594,240509_233602480.jpg,486843.385,7039004.806,433.351,-0.78088387,-0.421285088,2.031072875,-141.420519181,-178.403602414,1.322134633,141.394513542
399332960.5351,240509_233602957.jpg,486851.127,7039010.613,433.567,-0.784911243,-0.683522145,1.785749068,-141.782103426,-178.357820719,0.977438667,141.757342677
399332961.0212,240509_233603444.jpg,486858.996,7039016.438,433.797,-0.789107644,-0.886153169,1.973105313,-142.180728175,-178.08986138,1.012350051,142.148489211
399332961.507301,240509_233603931.jpg,486866.801,7039022.121,434.035,-0.793943979,-1.197019085,2.231310214,-142.647858427,-177.694631253,1.044111982,142.603434285
399332962.003901,240509_233604429.jpg,486874.743,7039027.8,434.335,-0.804635968,-1.108580734,2.617171268,-143.693038107,-177.556736514,1.448744658,143.636698561
399332962.500501,240509_233604926.jpg,486882.726,7039033.258,434.688,-0.8177448,-1.339313581,2.744426752,-144.991820593,-177.328334925,1.475220163,144.925219432
399332963.009002,240509_233605436.jpg,486890.932,7039038.6,435.092,-0.832461821,-1.194953023,3.185676147,-146.526744349,-177.245449676,1.99324147,146.445452228
399332963.517502,240509_233605945.jpg,486899.18,7039043.66,435.54,-0.846779656,-1.110034435,3.747693769,-148.102414009,-177.07569887,2.589253108,147.999837562
399332964.036802,240509_233606466.jpg,486907.652,7039048.518,436.041,-0.861234878,-1.376566669,3.66354899,-149.701065946,-176.96165011,2.462433306,149.591584316
399332964.567303,240509_233606997.jpg,486916.296,7039053.178,436.598,-0.87373348,-1.27507099,3.956022297,-151.191183732,-176.974152269,2.845284085,151.07182942
